ip,familia,ptr,asn,asn_name,isp,org,cidade,regiao,pais,pais_cc,continente,lat,lon,timezone,datacenter,resolvedor_publico
2a00:5a60::ad1:0ff,IPv6,,,,,,,,,,,,,,não,sim
79.98.120.73,IPv4,ns-lb0.ns.308th.dubai.aeda.net.ae,AS47201,TELECOMMUNICATIONS AND DIGITAL GOVERNMENT REGULATORY AUTHORITY,General Authority for Regulating the Telecommunications and Digital Government,Aeda AS1,Abu Dhabi,Abu Dhabi,United Arab Emirates,AE,Ásia,24.4539,54.3773,Asia/Dubai,não,não
2a00:d30:120::73,IPv6,,AS47201,TELECOMMUNICATIONS AND DIGITAL GOVERNMENT REGULATORY AUTHORITY,General Authority for Regulating the Telecommunications and Digital Government,A01,Abu Dhabi,Abu Dhabi,United Arab Emirates,AE,Ásia,24.4539,54.3773,Asia/Dubai,não,não
79.98.121.73,IPv4,ns-lb0.ns.almaf.abudhabi.aeda.net.ae,AS47201,TELECOMMUNICATIONS AND DIGITAL GOVERNMENT REGULATORY AUTHORITY,General Authority for Regulating the Telecommunications and Digital Government,Aeda AS1,Abu Dhabi,Abu Dhabi,United Arab Emirates,AE,Ásia,24.4539,54.3773,Asia/Dubai,não,não
2a00:d30:121::73,IPv6,,AS47201,TELECOMMUNICATIONS AND DIGITAL GOVERNMENT REGULATORY AUTHORITY,General Authority for Regulating the Telecommunications and Digital Government,A02,Abu Dhabi,Abu Dhabi,United Arab Emirates,AE,Ásia,24.4539,54.3773,Asia/Dubai,não,não
2800:3f0:4002:816::200e,IPv6,,AS15169,Google LLC,Google LLC,Google Argentina SRL,Buenos Aires,Buenos Aires F.D.,Argentina,AR,América do Sul,-34.6177,-58.3621,America/Argentina/Buenos_Aires,não,não
200.108.148.50,IPv4,c.dns.ar,AS42,"WoodyNet, Inc.","WoodyNet, Inc.",Secretaria Legal y Tecnica,San Nicolas,Buenos Aires F.D.,Argentina,AR,América do Sul,-34.5994,-58.3797,America/Argentina/Buenos_Aires,sim,não
2801:140:10::10,IPv6,c.dns.ar,AS42,"WoodyNet, Inc.","WoodyNet, Inc.",Secretaria Legal y Tecnica,San Nicolas,Buenos Aires F.D.,Argentina,AR,América do Sul,-34.5994,-58.3797,America/Argentina/Buenos_Aires,não,não
192.140.126.50,IPv4,d.dns.ar,AS265731,Secretaria Legal y Tecnica,Secretaria Legal y Tecnica,Secretaria Legal y Tecnica,San Nicolas,Buenos Aires F.D.,Argentina,AR,América do Sul,-34.5994,-58.3797,America/Argentina/Buenos_Aires,não,não
2801:140:dddd::50,IPv6,d.dns.ar,AS265731,Secretaria Legal y Tecnica,Secretaria Legal y Tecnica,Secretaria Legal y Tecnica,San Nicolas,Buenos Aires F.D.,Argentina,AR,América do Sul,-34.5994,-58.3797,America/Argentina/Buenos_Aires,não,não
170.238.66.50,IPv4,e.dns.ar,AS264798,Secretaria Legal y Tecnica,Secretaria Legal y Tecnica,Secretaria Legal y Tecnica,San Nicolas,Buenos Aires F.D.,Argentina,AR,América do Sul,-34.5994,-58.3797,America/Argentina/Buenos_Aires,sim,não
2801:140:eeee::50,IPv6,e.dns.ar,AS264798,Secretaria Legal y Tecnica,Secretaria Legal y Tecnica,SpaceX Starlink,San Nicolas,Buenos Aires F.D.,Argentina,AR,América do Sul,-34.5994,-58.3797,America/Argentina/Buenos_Aires,não,não
194.0.25.24,IPv4,ns3.dns.nl,AS1921,RcodeZero Anycast DNS,NICat-anycast,nic.at GmbH,Salzburg,Salzburg,Austria,AT,Europa,47.8229,13.0424,Europe/Vienna,sim,não
2001:678:20::24,IPv6,ns3.dns.nl,AS1921,RcodeZero Anycast DNS,NICat-anycast,nic.at GmbH,Salzburg,Salzburg,Austria,AT,Europa,47.8228,13.0426,Europe/Vienna,sim,não
194.0.25.23,IPv4,b.dns.pt,AS1921,RcodeZero Anycast DNS,NICat-anycast,nic.at GmbH,Salzburg,Salzburg,Austria,AT,Europa,47.8229,13.0424,Europe/Vienna,sim,não
2001:678:20::23,IPv6,b.dns.pt,AS1921,RcodeZero Anycast DNS,NICat-anycast,nic.at GmbH,Salzburg,Salzburg,Austria,AT,Europa,47.8228,13.0426,Europe/Vienna,sim,não
194.0.25.44,IPv4,v.dns.it,AS1921,RcodeZero Anycast DNS,NICat-anycast,nic.at GmbH,Salzburg,Salzburg,Austria,AT,Europa,47.8229,13.0424,Europe/Vienna,sim,não
2001:678:20::44,IPv6,v.dns.it,AS1921,RcodeZero Anycast DNS,NICat-anycast,nic.at GmbH,Salzburg,Salzburg,Austria,AT,Europa,47.8228,13.0426,Europe/Vienna,sim,não
194.0.25.39,IPv4,d.nic.ch,AS1921,RcodeZero Anycast DNS,NICat-anycast,nic.at GmbH,Salzburg,Salzburg,Austria,AT,Europa,47.8229,13.0424,Europe/Vienna,sim,não
2001:678:20::39,IPv6,d.nic.ch,AS1921,RcodeZero Anycast DNS,NICat-anycast,nic.at GmbH,Salzburg,Salzburg,Austria,AT,Europa,47.8228,13.0426,Europe/Vienna,sim,não
194.0.25.29,IPv4,f-dns.pl,AS1921,RcodeZero Anycast DNS,NICat-anycast,nic.at GmbH,Salzburg,Salzburg,Austria,AT,Europa,47.8229,13.0424,Europe/Vienna,sim,não
2001:678:20::29,IPv6,f-dns.pl,AS1921,RcodeZero Anycast DNS,NICat-anycast,nic.at GmbH,Salzburg,Salzburg,Austria,AT,Europa,47.8228,13.0426,Europe/Vienna,sim,não
194.0.25.36,IPv4,z.nsset.be,AS1921,RcodeZero Anycast DNS,NICat-anycast,nic.at GmbH,Salzburg,Salzburg,Austria,AT,Europa,47.8229,13.0424,Europe/Vienna,sim,não
2001:678:20::36,IPv6,z.nsset.be,AS1921,RcodeZero Anycast DNS,NICat-anycast,nic.at GmbH,Salzburg,Salzburg,Austria,AT,Europa,47.8228,13.0426,Europe/Vienna,sim,não
2001:678:1c::2,IPv6,ns2.univie.ac.at,AS35052,ACONET,.at-TLD,nic.at GmbH,Salzburg,Salzburg,Austria,AT,Europa,47.8228,13.0426,Europe/Vienna,não,não
194.0.25.10,IPv4,r.ns.at,AS1921,RcodeZero Anycast DNS,NICat-anycast,nic.at GmbH,Salzburg,Salzburg,Austria,AT,Europa,47.8229,13.0424,Europe/Vienna,sim,não
2001:678:20::10,IPv6,r.ns.at,AS1921,RcodeZero Anycast DNS,NICat-anycast,nic.at GmbH,Salzburg,Salzburg,Austria,AT,Europa,47.8228,13.0426,Europe/Vienna,sim,não
194.0.25.30,IPv4,i.fi,AS1921,RcodeZero Anycast DNS,NICat-anycast,nic.at GmbH,Salzburg,Salzburg,Austria,AT,Europa,47.8229,13.0424,Europe/Vienna,sim,não
2001:678:20::30,IPv6,i.fi,AS1921,RcodeZero Anycast DNS,NICat-anycast,nic.at GmbH,Salzburg,Salzburg,Austria,AT,Europa,47.8228,13.0426,Europe/Vienna,sim,não
194.0.25.35,IPv4,i.ns.ie,AS1921,RcodeZero Anycast DNS,NICat-anycast,nic.at GmbH,Salzburg,Salzburg,Austria,AT,Europa,47.8229,13.0424,Europe/Vienna,sim,não
2001:678:20::35,IPv6,i.ns.ie,AS1921,RcodeZero Anycast DNS,NICat-anycast,nic.at GmbH,Salzburg,Salzburg,Austria,AT,Europa,47.8228,13.0426,Europe/Vienna,sim,não
194.0.25.48,IPv4,gr-a.ics.forth.gr,AS1921,RcodeZero Anycast DNS,NICat-anycast,nic.at GmbH,Salzburg,Salzburg,Austria,AT,Europa,47.8229,13.0424,Europe/Vienna,sim,não
2001:678:20::48,IPv6,gr-a.ics.forth.gr,AS1921,RcodeZero Anycast DNS,NICat-anycast,nic.at GmbH,Salzburg,Salzburg,Austria,AT,Europa,47.8228,13.0426,Europe/Vienna,sim,não
194.0.25.11,IPv4,e.hu,AS1921,RcodeZero Anycast DNS,NICat-anycast,nic.at GmbH,Salzburg,Salzburg,Austria,AT,Europa,47.8229,13.0424,Europe/Vienna,sim,não
2001:678:20::11,IPv6,e.hu,AS1921,RcodeZero Anycast DNS,NICat-anycast,nic.at GmbH,Salzburg,Salzburg,Austria,AT,Europa,47.8228,13.0426,Europe/Vienna,sim,não
193.46.128.10,IPv4,rcz.ns.ua,AS1921,RcodeZero Anycast DNS,ipcom GmbH,nic.at GmbH,Salzburg,Salzburg,Austria,AT,Europa,47.8228,13.0426,Europe/Vienna,sim,não
2a02:850:ffe0::10,IPv6,rcz.ns.ua,AS1921,RcodeZero Anycast DNS,ipcom GmbH,nic.at GmbH,Salzburg,Salzburg,Austria,AT,Europa,47.8228,13.0426,Europe/Vienna,não,não
2001:67c:1bc::100,IPv6,sec1.rcode0.org,AS1921,RcodeZero Anycast DNS,IPCom-NET Anycast,nic.at GmbH,Salzburg,Salzburg,Austria,AT,Europa,47.8228,13.0426,Europe/Vienna,sim,não
78.104.144.2,IPv4,ns1.univie.ac.at,AS1853,ACONET,ACOnet,ACOnet Services,Vienna,Vienna,Austria,AT,Europa,48.2049,16.3662,Europe/Vienna,não,não
2001:628:2030:4301::2,IPv6,ns1.univie.ac.at,AS1853,ACONET,ACONET,ACONET,Vienna,Vienna,Austria,AT,Europa,48.2138,16.3578,Europe/Vienna,não,não
192.92.125.2,IPv4,ns2.univie.ac.at,AS35052,ACONET,UNIVIE,Vienna University,Vienna,Vienna,Austria,AT,Europa,48.2141,16.3578,Europe/Vienna,não,não
185.102.12.2,IPv4,u.ns.at,AS1921,RcodeZero Anycast DNS,ipcom GmbH,Linx,Vienna,Vienna,Austria,AT,Europa,48.2081,16.3713,Europe/Vienna,sim,não
2a02:850:ffff::2,IPv6,u.ns.at,AS1921,RcodeZero Anycast DNS,nic.at and RcodeZero LINX,,Vienna,Vienna,Austria,AT,Europa,48.2141,16.3578,Europe/Vienna,não,não
78.104.145.6,IPv4,dns-at.rotld.ro,AS1120,ACONET,ACOnet,ACOnet Services,Vienna,Vienna,Austria,AT,Europa,48.2049,16.3662,Europe/Vienna,não,não
2001:628:453:bb::6,IPv6,dns-at.rotld.ro,AS1120,ACONET,ACONET,Vienna University,Vienna,Vienna,Austria,AT,Europa,48.2049,16.3662,Europe/Vienna,não,não
78.104.145.227,IPv4,grdns-at.ics.forth.gr,AS1120,ACONET,ACOnet,ACOnet Services,Vienna,Vienna,Austria,AT,Europa,48.2049,16.3662,Europe/Vienna,não,não
78.104.145.8,IPv4,dns-eg.univie.ac.at,AS1120,ACONET,ACOnet,ACOnet Services,Vienna,Vienna,Austria,AT,Europa,48.2049,16.3662,Europe/Vienna,não,não
2001:628:453:bb::8,IPv6,,AS1120,ACONET,ACONET,Vienna University,Vienna,Vienna,Austria,AT,Europa,48.2049,16.3662,Europe/Vienna,não,não
192.174.68.100,IPv4,maggie.goeast.ch,AS1921,RcodeZero Anycast DNS,ipcom GmbH,NICat-anycast,Vienna,Vienna,Austria,AT,Europa,48.2012,16.3695,Europe/Vienna,sim,não
176.97.158.100,IPv4,sec.rcode0.net,AS1921,RcodeZero Anycast DNS,ipcom GmbH,NICat-anycast,Vienna,Vienna,Austria,AT,Europa,48.2012,16.3695,Europe/Vienna,sim,não
2001:67c:10b8::100,IPv6,sec2.rcode0.at,AS1921,RcodeZero Anycast DNS,ipcom GmbH,IPCOM-anycast,Vienna,Vienna,Austria,AT,Europa,48.2012,16.3695,Europe/Vienna,sim,não
37.235.1.174,IPv4,resolver1.freedns.zone.powered.by.virtexxa.com,AS51453,Anexia Cloud Solutions GmbH,Emerion Webhosting GmbH,Emerion WebHosting GmbH,Vienna,Vienna,Austria,AT,Europa,48.1688,16.3468,Europe/Vienna,sim,sim
58.65.254.1,IPv4,,AS17987,.au Domain Administration,auDA DNS Servers,,Melbourne,Victoria,Australia,AU,Oceania,-37.8125,144.973,Australia/Melbourne,sim,não
2407:6e00:254::1,IPv6,,AS17987,.au Domain Administration,.au Domain Administration Limited,auDA DNS Servers,Melbourne,Victoria,Australia,AU,Oceania,-37.8125,144.973,Australia/Melbourne,não,não
120.29.253.8,IPv4,,AS12008,"Vercara, LLC",Bombora Technologies PTY LTD,AusRegistry International Pty Ltd,Melbourne,Victoria,Australia,AU,Oceania,-37.8382,144.974,Australia/Melbourne,sim,não
2001:dcd:7::8,IPv6,,AS12008,"Vercara, LLC","Vercara, LLC",Bombora Technologies PTY LTD,Melbourne,Victoria,Australia,AU,Oceania,-37.8157,144.96,Australia/Melbourne,sim,não
2001:dcd:1::13,IPv6,,AS12008,"Vercara, LLC","Vercara, LLC",Bombora Technologies PTY LTD,Melbourne,Victoria,Australia,AU,Oceania,-37.8157,144.96,Australia/Melbourne,sim,não
2001:dcd:2::13,IPv6,,AS12008,"Vercara, LLC","Vercara, LLC",Bombora Technologies PTY LTD,Melbourne,Victoria,Australia,AU,Oceania,-37.8157,144.96,Australia/Melbourne,sim,não
2001:dcd:3::13,IPv6,,AS12008,"Vercara, LLC","Vercara, LLC",Bombora Technologies PTY LTD,Melbourne,Victoria,Australia,AU,Oceania,-37.8157,144.96,Australia/Melbourne,sim,não
2001:dcd:1::4,IPv6,gmo.alpha.aridns.net.au,AS12008,"Vercara, LLC","Vercara, LLC",Bombora Technologies PTY LTD,Melbourne,Victoria,Australia,AU,Oceania,-37.8157,144.96,Australia/Melbourne,sim,não
2001:dcd:2::4,IPv6,gmo.beta.aridns.net.au,AS12008,"Vercara, LLC","Vercara, LLC",Bombora Technologies PTY LTD,Melbourne,Victoria,Australia,AU,Oceania,-37.8157,144.96,Australia/Melbourne,sim,não
2001:dcd:4::4,IPv6,gmo.delta.aridns.net.au,AS12008,"Vercara, LLC","Vercara, LLC",Bombora Technologies PTY LTD,Melbourne,Victoria,Australia,AU,Oceania,-37.8157,144.96,Australia/Melbourne,sim,não
2001:dcd:1::6,IPv6,cctld.alpha.aridns.net.au,AS12008,"Vercara, LLC","Vercara, LLC",Bombora Technologies PTY LTD,Melbourne,Victoria,Australia,AU,Oceania,-37.8157,144.96,Australia/Melbourne,sim,não
2001:dcd:2::6,IPv6,cctld.beta.aridns.net.au,AS12008,"Vercara, LLC","Vercara, LLC",Bombora Technologies PTY LTD,Melbourne,Victoria,Australia,AU,Oceania,-37.8157,144.96,Australia/Melbourne,sim,não
2001:dcd:3::6,IPv6,cctld.gamma.aridns.net.au,AS12008,"Vercara, LLC","Vercara, LLC",Bombora Technologies PTY LTD,Melbourne,Victoria,Australia,AU,Oceania,-37.8157,144.96,Australia/Melbourne,sim,não
202.12.31.53,IPv4,ns4.apnic.net,AS18366,APNIC ANYCAST ASN,Apnic Services,Apnic Services,South Brisbane,Queensland,Australia,AU,Oceania,-27.473,153.014,Australia/Brisbane,sim,não
2001:dd8:12::53,IPv6,ns4.apnic.net,AS18366,APNIC ANYCAST ASN,Apnic Services,Apnic Services,South Brisbane,Queensland,Australia,AU,Oceania,-27.473,153.014,Australia/Brisbane,não,não
1.1.1.1,IPv4,one.one.one.one,AS13335,"Cloudflare, Inc.","Cloudflare, Inc",APNIC and Cloudflare DNS Resolver project,South Brisbane,Queensland,Australia,AU,Oceania,-27.4766,153.0166,Australia/Brisbane,sim,sim
1.0.0.1,IPv4,one.one.one.one,AS13335,"Cloudflare, Inc.","Cloudflare, Inc",APNIC and Cloudflare DNS Resolver project,South Brisbane,Queensland,Australia,AU,Oceania,-27.4766,153.0166,Australia/Brisbane,sim,sim
2401:fd80:404::1,IPv6,dns4.nic.uk,AS43519,Nominet UK,Nominet UK,NOMINET UK,Sydney,New South Wales,Australia,AU,Oceania,-33.8688,151.209,Australia/Sydney,não,não
37.209.192.13,IPv4,,AS12008,"Vercara, LLC","Vercara, LLC",Registry Services LLC,Sydney,New South Wales,Australia,AU,Oceania,-33.8688,151.209,Australia/Sydney,sim,não
37.209.194.13,IPv4,,AS12008,"Vercara, LLC","Vercara, LLC",Registry Services LLC,Sydney,New South Wales,Australia,AU,Oceania,-33.8688,151.209,Australia/Sydney,sim,não
37.209.196.13,IPv4,,AS12008,"Vercara, LLC","Vercara, LLC",Registry Services LLC,Sydney,New South Wales,Australia,AU,Oceania,-33.8688,151.209,Australia/Sydney,sim,não
37.209.192.4,IPv4,gmo.alpha.aridns.net.au,AS12008,"Vercara, LLC","Vercara, LLC",Registry Services LLC,Sydney,New South Wales,Australia,AU,Oceania,-33.8688,151.209,Australia/Sydney,sim,não
37.209.194.4,IPv4,gmo.beta.aridns.net.au,AS12008,"Vercara, LLC","Vercara, LLC",Registry Services LLC,Sydney,New South Wales,Australia,AU,Oceania,-33.8688,151.209,Australia/Sydney,sim,não
37.209.196.4,IPv4,gmo.gamma.aridns.net.au,AS12008,"Vercara, LLC","Vercara, LLC",Registry Services LLC,Sydney,New South Wales,Australia,AU,Oceania,-33.8688,151.209,Australia/Sydney,sim,não
37.209.198.4,IPv4,gmo.delta.aridns.net.au,AS12008,"Vercara, LLC","Vercara, LLC",Registry Services LLC,Sydney,New South Wales,Australia,AU,Oceania,-33.8688,151.209,Australia/Sydney,sim,não
37.209.192.6,IPv4,cctld.alpha.aridns.net.au,AS12008,"Vercara, LLC","Vercara, LLC",Registry Services LLC,Sydney,New South Wales,Australia,AU,Oceania,-33.8688,151.209,Australia/Sydney,sim,não
37.209.194.6,IPv4,cctld.beta.aridns.net.au,AS12008,"Vercara, LLC","Vercara, LLC",Registry Services LLC,Sydney,New South Wales,Australia,AU,Oceania,-33.8688,151.209,Australia/Sydney,sim,não
37.209.196.6,IPv4,cctld.gamma.aridns.net.au,AS12008,"Vercara, LLC","Vercara, LLC",Registry Services LLC,Sydney,New South Wales,Australia,AU,Oceania,-33.8688,151.209,Australia/Sydney,sim,não
2407:30c0:182::aa72:3402,IPv6,,AS209242,"Cloudflare London, LLC","Cloudflare London, LLC",ZVC - Australia PTY LTD,Sydney,New South Wales,Australia,AU,Oceania,-33.8668,151.207,Australia/Sydney,sim,não
194.0.6.1,IPv4,a.nsset.be,AS199670,DNS.be Anycast - Toplevel .be domain registry,DNS-Belgium,DNS be vzw/asbl,Leuven,Flanders,Belgium,BE,Europa,50.867,4.71296,Europe/Brussels,não,não
2001:678:9::1,IPv6,a.nsset.be,AS199670,DNS.be Anycast - Toplevel .be domain registry,DNS-Belgium VZW,DNS Belgium vzw/asbl,Leuven,Flanders,Belgium,BE,Europa,50.8881,4.70157,Europe/Brussels,não,não
194.0.37.1,IPv4,b.nsset.be,AS199670,DNS.be Anycast - Toplevel .be domain registry,DNS-Belgium,DNS BE vzw/asbl,Leuven,Flanders,Belgium,BE,Europa,50.867,4.71296,Europe/Brussels,não,não
2001:678:64::1,IPv6,b.nsset.be,AS199670,DNS.be Anycast - Toplevel .be domain registry,DNS-Belgium VZW,DNS Belgium vzw/asbl,Leuven,Flanders,Belgium,BE,Europa,50.8881,4.70157,Europe/Brussels,não,não
194.0.43.1,IPv4,c.nsset.be,AS199670,DNS.be Anycast - Toplevel .be domain registry,DNS-Belgium,DNS BE vzw/asbl,Leuven,Flanders,Belgium,BE,Europa,50.867,4.71296,Europe/Brussels,não,não
2001:678:68::1,IPv6,c.nsset.be,AS199670,DNS.be Anycast - Toplevel .be domain registry,DNS-Belgium VZW,DNS Belgium vzw/asbl,Leuven,Flanders,Belgium,BE,Europa,50.8881,4.70157,Europe/Brussels,não,não
194.0.44.1,IPv4,d.nsset.be,AS199670,DNS.be Anycast - Toplevel .be domain registry,DNS-Belgium,DNS BE vzw/asbl,Leuven,Flanders,Belgium,BE,Europa,50.867,4.71296,Europe/Brussels,não,não
2001:678:6c::1,IPv6,d.nsset.be,AS199670,DNS.be Anycast - Toplevel .be domain registry,DNS-Belgium VZW,DNS Belgium vzw/asbl,Leuven,Flanders,Belgium,BE,Europa,50.8881,4.70157,Europe/Brussels,não,não
2a06:fb00:1::2:185,IPv6,ns2.tld.cloudns.net,AS203391,Cloud DNS Ltd,Cloud DNS Ltd,ClouDNS,Sofia,Sofia-Capital,Bulgaria,BG,Europa,42.6994,23.3259,Europe/Sofia,sim,não
2a06:fb00:1::4:185,IPv6,ns4.tld.cloudns.net,AS203391,Cloud DNS Ltd,Cloud DNS Ltd,ClouDNS,Sofia,Sofia-Capital,Bulgaria,BG,Europa,42.6994,23.3259,Europe/Sofia,sim,não
166.114.1.40,IPv4,ns.nic.bo,AS52250,Ag para el Desarrollo de la Sociedad de la Inf en Bolivia - ADSIB,Ag para el Desarrollo de la Sociedad de la Inf en Bolivia - ADSIB,Ag para el Desarrollo de la Sociedad de la Inf en Bolivia - ADSIB,La Paz,La Paz Department,Bolivia,BO,América do Sul,-16.5132,-68.1277,America/La_Paz,não,não
57.144.66.141,IPv4,edge-star-shv-01-gru1.facebook.com,AS32934,"Facebook, Inc.","Facebook, Inc.","Facebook, Inc",Barueri,São Paulo,Brazil,BR,América do Sul,-23.5111,-46.8727,America/Sao_Paulo,sim,não
2a03:2880:f048:100:face:b00c:0:2,IPv6,edge-star6-shv-02-gru1.facebook.com,AS32934,"Facebook, Inc.","Facebook, Inc.","Facebook, Inc",Barueri,São Paulo,Brazil,BR,América do Sul,-23.5111,-46.8727,America/Sao_Paulo,sim,não
189.9.122.11,IPv4,,AS10954,SERVICO FEDERAL DE PROCESSAMENTO DE DADOS - SERPRO,Servico Federal De Processamento De Dados - Serpro,Servico Federal De Processamento De Dados - Serpro,Brasília,Federal District,Brazil,BR,América do Sul,-15.7798,-47.9331,America/Sao_Paulo,não,não
189.9.122.12,IPv4,,AS10954,SERVICO FEDERAL DE PROCESSAMENTO DE DADOS - SERPRO,Servico Federal De Processamento De Dados - Serpro,Servico Federal De Processamento De Dados - Serpro,Brasília,Federal District,Brazil,BR,América do Sul,-15.7798,-47.9331,America/Sao_Paulo,não,não
161.148.175.208,IPv4,,AS10954,SERVICO FEDERAL DE PROCESSAMENTO DE DADOS - SERPRO,Servico Federal De Processamento De Dados - Serpro,Servico Federal De Processamento De Dados - Serpro,Brasília,Federal District,Brazil,BR,América do Sul,-15.7975,-47.8919,America/Sao_Paulo,não,não
143.106.2.2,IPv4,ns1.unicamp.br,AS53187,UNIVERSIDADE ESTADUAL DE CAMPINAS,Universidade Estadual De Campinas,Universidade Estadual De Campinas,Campinas,São Paulo,Brazil,BR,América do Sul,-22.8951,-47.0439,America/Sao_Paulo,não,não
2801:8a:2003::2,IPv6,ns1.unicamp.br,AS53187,UNIVERSIDADE ESTADUAL DE CAMPINAS,Universidade Estadual De Campinas,Universidade Estadual De Campinas,Campinas,São Paulo,Brazil,BR,América do Sul,-22.9051,-47.0613,America/Sao_Paulo,não,não
143.106.2.133,IPv4,ns3.unicamp.br,AS53187,UNIVERSIDADE ESTADUAL DE CAMPINAS,Universidade Estadual De Campinas,Universidade Estadual De Campinas,Campinas,São Paulo,Brazil,BR,América do Sul,-22.8951,-47.0439,America/Sao_Paulo,não,não
2801:8a:4003::3,IPv6,ns3.unicamp.br,AS53187,UNIVERSIDADE ESTADUAL DE CAMPINAS,Universidade Estadual De Campinas,Universidade Estadual De Campinas,Campinas,São Paulo,Brazil,BR,América do Sul,-22.9051,-47.0613,America/Sao_Paulo,não,não
177.220.120.17,IPv4,tkg-prod.nuvem.unicamp.br,AS53187,UNIVERSIDADE ESTADUAL DE CAMPINAS,Universidade Estadual De Campinas,Universidade Estadual De Campinas,Campinas,São Paulo,Brazil,BR,América do Sul,-22.9051,-47.0613,America/Sao_Paulo,não,não
2801:8a:c860:2000::5,IPv6,,AS53187,UNIVERSIDADE ESTADUAL DE CAMPINAS,Universidade Estadual De Campinas,Universidade Estadual De Campinas,Campinas,São Paulo,Brazil,BR,América do Sul,-22.9051,-47.0613,America/Sao_Paulo,não,não
2804:49c:3102:401:ffff:ffff:ffff:36,IPv6,,AS7162,Universo Online S.A.,Universo Online S.A.,Universo Online S.A,Campos Eliseos,São Paulo,Brazil,BR,América do Sul,-23.5373,-46.6455,America/Sao_Paulo,não,não
131.0.24.26,IPv4,,AS28604,Globo Comunicação e Participaçoes SA,Globo Comunicação e Participaçoes SA,Globo Comunicação e Participaçoes SA,Jardim Botanico,Rio de Janeiro,Brazil,BR,América do Sul,-22.9661,-43.2199,America/Sao_Paulo,não,não
2804:294:100:803:131:0:24:26,IPv6,,AS28604,Globo Comunicação e Participaçoes SA,Globo Comunicação e Participaçoes SA,Globo Comunicação e Participaçoes SA,Jardim Botanico,Rio de Janeiro,Brazil,BR,América do Sul,-22.9661,-43.2199,America/Sao_Paulo,não,não
186.192.89.18,IPv4,186-192-89-18.prt.globo.com,AS28604,Globo Comunicação e Participaçoes SA,Globo Comunicação e Participaçoes SA,Globo Comunicação e Participaçoes SA,Jardim Botanico,Rio de Janeiro,Brazil,BR,América do Sul,-22.9661,-43.2199,America/Sao_Paulo,não,não
2804:294:4000:8003:186:192:89:18,IPv6,,AS28604,Globo Comunicação e Participaçoes SA,Globo Comunicação e Participaçoes SA,Globo Comunicação e Participaçoes SA,Jardim Botanico,Rio de Janeiro,Brazil,BR,América do Sul,-22.9661,-43.2199,America/Sao_Paulo,não,não
186.192.89.5,IPv4,ns03.oghost.com.br,AS28604,Globo Comunicação e Participaçoes SA,Globo Comunicação e Participaçoes SA,Globo Comunicação e Participaçoes SA,Jardim Botanico,Rio de Janeiro,Brazil,BR,América do Sul,-22.9661,-43.2199,America/Sao_Paulo,não,não
2804:294:4000:8001::5,IPv6,,AS28604,Globo Comunicação e Participaçoes SA,Globo Comunicação e Participaçoes SA,Globo Comunicação e Participaçoes SA,Jardim Botanico,Rio de Janeiro,Brazil,BR,América do Sul,-22.9661,-43.2199,America/Sao_Paulo,não,não
2804:294:8000:200:177:53:95:213,IPv6,,AS28604,Globo Comunicação e Participaçoes SA,Globo Comunicação e Participaçoes SA,Globo Comunicação e Participaçoes SA,Jardim Botanico,Rio de Janeiro,Brazil,BR,América do Sul,-22.9661,-43.2199,America/Sao_Paulo,não,não
186.192.83.12,IPv4,186-192-83-12.prt.globo.com,AS28604,Globo Comunicação e Participaçoes SA,Globo Comunicação e Participaçoes SA,Globo Comunicação e Participaçoes SA,Jardim Botanico,Rio de Janeiro,Brazil,BR,América do Sul,-22.9661,-43.2199,America/Sao_Paulo,não,não
2801:8c:0:a0::158:13,IPv6,,AS262857,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,Universidade Federal Do RIO Grande Do Norte,Universidade Federal Do RIO Grande Do Norte,Lagoa Nova,Rio Grande do Norte,Brazil,BR,América do Sul,-5.83972,-35.2017,America/Fortaleza,não,não
2801:8c:0:a0::158:14,IPv6,,AS262857,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,Universidade Federal Do RIO Grande Do Norte,Universidade Federal Do RIO Grande Do Norte,Lagoa Nova,Rio Grande do Norte,Brazil,BR,América do Sul,-5.83972,-35.2017,America/Fortaleza,não,não
2801:8c:0:b0::a007,IPv6,,AS262857,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,Universidade Federal Do RIO Grande Do Norte,Universidade Federal Do RIO Grande Do Norte,Lagoa Nova,Rio Grande do Norte,Brazil,BR,América do Sul,-5.83972,-35.2017,America/Fortaleza,não,não
177.20.144.33,IPv4,,AS262857,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,Universidade Federal Do RIO Grande Do Norte,Universidade Federal Do RIO Grande Do Norte,Natal,Rio Grande do Norte,Brazil,BR,América do Sul,-5.8111,-35.2235,America/Fortaleza,não,não
177.20.144.50,IPv4,producao.info.ufrn.br,AS262857,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,Universidade Federal Do RIO Grande Do Norte,Universidade Federal Do RIO Grande Do Norte,Natal,Rio Grande do Norte,Brazil,BR,América do Sul,-5.8111,-35.2235,America/Fortaleza,não,não
